Type,Instance,Radii,Length,PosX,PosY,PosZ,DirX,DirY,DirZ




















































































Type 4,Instance 1,2.4042,25.0,26.700000000000035,80.3,32.5,0.0,0.0,-1.0
Type 4,Instance 2,2.4042,25.0,26.70000000000002,246.15786437626915,32.5,0.0,0.0,-1.0
Type 4,Instance 3,2.4042,25.0,23.30000000000004,484.4999999999999,301.7,0.0,1.0,0.0
Type 4,Instance 4,2.4042,25.0,23.300000000000075,394.4590837071511,120.13675323681473,0.0,0.707106781186547,-0.7071067811865481
Type 4,Instance 5,2.4042,25.0,26.700000000000085,24.499999999999964,76.70000000000002,0.0,-1.0,0.0
Type 4,Instance 6,2.4042,25.0,26.70000000000004,24.499999999999964,326.7,0.0,-1.0,0.0
Type 4,Instance 7,2.4042,25.0,23.300000000000047,24.499999999999964,323.3,0.0,-1.0,0.0
Type 4,Instance 8,2.4042,25.0,23.30000000000007,24.499999999999964,73.29999999999998,0.0,-1.0,0.0
Type 4,Instance 9,2.4042,25.0,26.700000000000053,396.8632467631853,122.54091629284896,0.0,0.7071067811865481,-0.707106781186547
Type 4,Instance 10,2.4042,25.0,26.70000000000003,484.4999999999999,298.3,0.0,1.0,0.0
Type 4,Instance 11,2.4042,25.0,23.300000000000036,249.55786437626912,32.5,0.0,0.0,-1.0
Type 4,Instance 12,2.4042,25.0,23.300000000000036,83.7,32.5,0.0,0.0,-1.0
Type 4,Instance 13,2.4042,25.0,626.6999999999972,80.30000000002053,32.50000000000233,9.09494701772928e-15,-2.444267011014744e-14,-1.0
Type 4,Instance 14,2.4042,25.0,626.699999999992,246.15786437628964,32.499999999998295,9.09494701772928e-15,-2.387423592153936e-14,-1.0
Type 4,Instance 15,2.4042,25.0,623.2999999999827,484.5000000000269,301.6999999999924,-3.6379788070916966e-14,1.0,-2.2737367544323103e-14
Type 4,Instance 16,2.4042,25.0,623.2999999999868,394.45908370717365,120.13675323680933,-1.818989403545846e-14,0.707106781186531,-0.707106781186564
Type 4,Instance 17,2.4042,25.0,626.6999999999987,24.500000000021558,76.7000000000037,3.637978807091713e-14,-1.0,2.3874235921539365e-14
Type 4,Instance 18,2.4042,25.0,626.699999999997,24.50000000002767,326.7000000000037,2.7284841053187846e-14,-1.0,2.2737367544323207e-14
Type 4,Instance 19,2.4042,25.0,623.299999999997,24.500000000027484,323.3000000000037,3.6379788070917124e-14,-1.0,2.5011104298755524e-14
Type 4,Instance 20,2.4042,25.0,623.2999999999987,24.500000000021373,73.30000000000365,2.7284841053187843e-14,-1.0,2.5011104298755524e-14
Type 4,Instance 21,2.4042,25.0,626.6999999999866,396.86324676320805,122.54091629284355,-1.8189894035458505e-14,0.7071067811865305,-0.7071067811865646
Type 4,Instance 22,2.4042,25.0,626.6999999999827,484.50000000002694,298.2999999999924,-2.7284841053187846e-14,1.0,-2.2737367544323207e-14
Type 4,Instance 23,2.4042,25.0,623.2999999999919,249.55786437628953,32.49999999999818,9.094947017729286e-15,-2.5011104298755533e-14,-1.0
