Type,Instance,Radii,Length,PosX,PosY,PosZ,DirX,DirY,DirZ
Type 3,Instance 1,3.8268,12.0,1.4644660940672631,6.0,6.464466094067264,0.0,-1.0,0.0
Type 3,Instance 2,3.8268,12.0,643.5355339059327,6.0,1.4644660940672622,0.0,-1.0,0.0
Type 3,Instance 3,3.8268,12.0,648.5355339059328,6.0,393.53553390593277,0.0,-1.0,0.0
Type 3,Instance 4,3.8268,12.0,6.464466094067308,6.0,398.53553390593277,0.0,-1.0,0.0
Type 4,Instance 1,2.4042,25.0,26.700000000000035,80.3,32.5,0.0,0.0,-1.0
Type 4,Instance 5,2.4042,25.0,26.700000000000085,24.499999999999964,76.70000000000002,0.0,-1.0,0.0
Type 4,Instance 6,2.4042,25.0,26.70000000000004,24.499999999999964,326.7,0.0,-1.0,0.0
Type 4,Instance 7,2.4042,25.0,23.300000000000047,24.499999999999964,323.3,0.0,-1.0,0.0
Type 4,Instance 8,2.4042,25.0,23.30000000000007,24.499999999999964,73.29999999999998,0.0,-1.0,0.0
Type 4,Instance 12,2.4042,25.0,23.300000000000036,83.7,32.5,0.0,0.0,-1.0
Type 4,Instance 13,2.4042,25.0,626.6999999999972,80.30000000002053,32.50000000000233,9.09494701772928e-15,-2.444267011014744e-14,-1.0
