Type,Instance,Radii,Length,PosX,PosY,PosZ,DirX,DirY,DirZ
Type 13,Instance 1,3.5,20,107.76408048643349,56.10600161642774,10,0,0,1
Type 13,Instance 2,3.5,20,224.21342919119792,141.91078487256996,10,0,0,1
Type 13,Instance 3,3.5,20,246.00512017688482,251.55023014430728,10,0,0,1
Type 13,Instance 5,3.5,20,382.2031888374281,163.0214855149542,10,0,0,1
Type 13,Instance 6,3.5,20,577.6474173653077,261.7650853,10,0,0,1
Type 13,Instance 7,3.5,20,602.8440600675083,67.00184710927118,10,0,0,1
Type 13,Instance 8,3.5,20,128.87478112881766,398.54856773009107,92.40643210636017,0,0.7071067811865476,-0.707106781
Type 13,Instance 10,3.5,20,325.68099034330265,425.5144095517178,119.37227392798691,0,0.7071067811865476,-0.707106781
Type 13,Instance 12,3.5,20,502.0574892587062,414.92068597893586,108.77855035520494,0,0.7071067811865478,-0.707106781
Type 13,Instance 13,3.5,20,570.1565235889777,362.4336010046981,56.29146538096717,0,0.7071067811865476,-0.707106781
Type 13,Instance 14,3.5,20,588.5432629,461.6293762771106,155.48724065337979,0,0.7071067811865476,-0.707106781
Type 13,Instance 15,3.5,20,192.88787339927282,507,279.69592972302905,0,1,0
Type 13,Instance 16,3.5,20,83.92941847083823,507,343.0280316501817,0,1,0
Type 13,Instance 17,3.5,20,391.05606330036323,507,308.2975241417431,0,1,0
Type 13,Instance 18,3.5,20,577.6474173653075,507,262.6711711404611,0,1,0
Type 13,Instance 19,3.5,20,479.58480792971636,507,336.8991185604572,0,1,0
