Type,Instance,Radii,Length,PosX,PosY,PosZ,DirX,DirY,DirZ
Type 1,Instance 1,4.2,12.0,625.0,6.0,325.0,0.0,-1.0,0.0
Type 1,Instance 1,4.2,12.0,625.0,6.0,325.0,0.0,-1.0,0.0
Type 1,Instance 2,4.2,12.0,25.000000000000078,6.0,325.0,0.0,-1.0,0.0
Type 1,Instance 2,4.2,12.0,25.000000000000078,6.0,325.0,0.0,-1.0,0.0
Type 1,Instance 3,4.2,12.0,625.0,6.0,75.0,0.0,-1.0,0.0
Type 1,Instance 3,4.2,12.0,625.0,6.0,75.0,0.0,-1.0,0.0
Type 1,Instance 4,4.2,12.0,25.000000000000078,6.0,75.0,0.0,-1.0,0.0
Type 1,Instance 4,4.2,12.0,25.000000000000078,6.0,75.0,0.0,-1.0,0.0
Type 2,Instance 1,8.15,12.0,125.00000000000003,6.0,125.0,0.0,1.0,0.0
Type 2,Instance 1,8.15,12.0,125.00000000000003,6.0,125.0,0.0,1.0,0.0
Type 2,Instance 2,8.15,12.0,175.00000000000006,6.0,125.0,0.0,1.0,0.0
Type 2,Instance 2,8.15,12.0,175.00000000000006,6.0,125.0,0.0,1.0,0.0
Type 2,Instance 3,8.15,12.0,225.00000000000003,6.0,125.0,0.0,1.0,0.0
Type 2,Instance 3,8.15,12.0,225.00000000000003,6.0,125.0,0.0,1.0,0.0
Type 2,Instance 4,8.15,12.0,275.0,6.0,125.0,0.0,1.0,0.0
Type 2,Instance 4,8.15,12.0,275.0,6.0,125.0,0.0,1.0,0.0
Type 2,Instance 5,8.15,12.0,325.00000000000006,6.0,125.0,0.0,1.0,0.0
Type 2,Instance 5,8.15,12.0,325.00000000000006,6.0,125.0,0.0,1.0,0.0
Type 2,Instance 6,8.15,12.0,375.0,6.0,125.0,0.0,1.0,0.0
Type 2,Instance 6,8.15,12.0,375.0,6.0,125.0,0.0,1.0,0.0
Type 2,Instance 7,8.15,12.0,425.00000000000006,6.0,125.0,0.0,1.0,0.0
Type 2,Instance 7,8.15,12.0,425.00000000000006,6.0,125.0,0.0,1.0,0.0
Type 2,Instance 8,8.15,12.0,475.0000000000001,6.0,125.0,0.0,1.0,0.0
Type 2,Instance 8,8.15,12.0,475.0000000000001,6.0,125.0,0.0,1.0,0.0
Type 2,Instance 9,8.15,12.0,525.0,6.0,125.0,0.0,1.0,0.0
Type 2,Instance 9,8.15,12.0,525.0,6.0,125.0,0.0,1.0,0.0
Type 2,Instance 10,8.15,12.0,125.00000000000003,6.0,175.00000000000003,0.0,1.0,0.0
Type 2,Instance 10,8.15,12.0,125.00000000000003,6.0,175.00000000000003,0.0,1.0,0.0
Type 2,Instance 11,8.15,12.0,175.00000000000006,6.0,175.00000000000003,0.0,1.0,0.0
Type 2,Instance 11,8.15,12.0,175.00000000000006,6.0,175.00000000000003,0.0,1.0,0.0
Type 2,Instance 12,8.15,12.0,225.00000000000003,6.0,175.00000000000003,0.0,1.0,0.0
Type 2,Instance 12,8.15,12.0,225.00000000000003,6.0,175.00000000000003,0.0,1.0,0.0
Type 2,Instance 13,8.15,12.0,275.0,6.0,175.00000000000003,0.0,1.0,0.0
Type 2,Instance 13,8.15,12.0,275.0,6.0,175.00000000000003,0.0,1.0,0.0
Type 2,Instance 14,8.15,12.0,325.00000000000006,6.0,175.00000000000003,0.0,1.0,0.0
Type 2,Instance 14,8.15,12.0,325.00000000000006,6.0,175.00000000000003,0.0,1.0,0.0
Type 2,Instance 15,8.15,12.0,375.0,6.0,175.00000000000003,0.0,1.0,0.0
Type 2,Instance 15,8.15,12.0,375.0,6.0,175.00000000000003,0.0,1.0,0.0
Type 2,Instance 16,8.15,12.0,425.00000000000006,6.0,175.00000000000003,0.0,1.0,0.0
Type 2,Instance 16,8.15,12.0,425.00000000000006,6.0,175.00000000000003,0.0,1.0,0.0
Type 2,Instance 17,8.15,12.0,475.0000000000001,6.0,175.00000000000003,0.0,1.0,0.0
Type 2,Instance 17,8.15,12.0,475.0000000000001,6.0,175.00000000000003,0.0,1.0,0.0
Type 2,Instance 18,8.15,12.0,525.0,6.0,175.00000000000003,0.0,1.0,0.0
Type 2,Instance 18,8.15,12.0,525.0,6.0,175.00000000000003,0.0,1.0,0.0
Type 2,Instance 19,8.15,12.0,125.00000000000003,6.0,225.00000000000003,0.0,1.0,0.0
Type 2,Instance 19,8.15,12.0,125.00000000000003,6.0,225.00000000000003,0.0,1.0,0.0
Type 2,Instance 20,8.15,12.0,175.00000000000006,6.0,225.00000000000003,0.0,1.0,0.0
Type 2,Instance 20,8.15,12.0,175.00000000000006,6.0,225.00000000000003,0.0,1.0,0.0
Type 2,Instance 21,8.15,12.0,225.00000000000003,6.0,225.00000000000003,0.0,1.0,0.0
Type 2,Instance 21,8.15,12.0,225.00000000000003,6.0,225.00000000000003,0.0,1.0,0.0
Type 2,Instance 22,8.15,12.0,275.0,6.0,225.00000000000003,0.0,1.0,0.0
Type 2,Instance 22,8.15,12.0,275.0,6.0,225.00000000000003,0.0,1.0,0.0
Type 2,Instance 23,8.15,12.0,325.00000000000006,6.0,225.00000000000003,0.0,1.0,0.0
Type 2,Instance 23,8.15,12.0,325.00000000000006,6.0,225.00000000000003,0.0,1.0,0.0
Type 2,Instance 24,8.15,12.0,375.0,6.0,225.00000000000003,0.0,1.0,0.0
Type 2,Instance 24,8.15,12.0,375.0,6.0,225.00000000000003,0.0,1.0,0.0
Type 2,Instance 25,8.15,12.0,425.00000000000006,6.0,225.00000000000003,0.0,1.0,0.0
Type 2,Instance 25,8.15,12.0,425.00000000000006,6.0,225.00000000000003,0.0,1.0,0.0
Type 2,Instance 26,8.15,12.0,475.0000000000001,6.0,225.00000000000003,0.0,1.0,0.0
Type 2,Instance 26,8.15,12.0,475.0000000000001,6.0,225.00000000000003,0.0,1.0,0.0
Type 2,Instance 27,8.15,12.0,525.0,6.0,225.00000000000003,0.0,1.0,0.0
Type 2,Instance 27,8.15,12.0,525.0,6.0,225.00000000000003,0.0,1.0,0.0
Type 2,Instance 28,8.15,12.0,175.00000000000006,6.0,275.0,0.0,1.0,0.0
Type 2,Instance 28,8.15,12.0,175.00000000000006,6.0,275.0,0.0,1.0,0.0
Type 2,Instance 29,8.15,12.0,125.00000000000003,6.0,275.0,0.0,1.0,0.0
Type 2,Instance 29,8.15,12.0,125.00000000000003,6.0,275.0,0.0,1.0,0.0
Type 2,Instance 30,8.15,12.0,225.00000000000003,6.0,275.0,0.0,1.0,0.0
Type 2,Instance 30,8.15,12.0,225.00000000000003,6.0,275.0,0.0,1.0,0.0
Type 2,Instance 31,8.15,12.0,275.00000000000006,6.0,275.0,0.0,1.0,0.0
Type 2,Instance 31,8.15,12.0,275.00000000000006,6.0,275.0,0.0,1.0,0.0
Type 2,Instance 32,8.15,12.0,325.00000000000006,6.0,275.0,0.0,1.0,0.0
Type 2,Instance 32,8.15,12.0,325.00000000000006,6.0,275.0,0.0,1.0,0.0
Type 2,Instance 33,8.15,12.0,375.00000000000006,6.0,275.0,0.0,1.0,0.0
Type 2,Instance 33,8.15,12.0,375.00000000000006,6.0,275.0,0.0,1.0,0.0
Type 2,Instance 34,8.15,12.0,425.0000000000001,6.0,275.0,0.0,1.0,0.0
Type 2,Instance 34,8.15,12.0,425.0000000000001,6.0,275.0,0.0,1.0,0.0
Type 2,Instance 35,8.15,12.0,475.0000000000001,6.0,275.0,0.0,1.0,0.0
Type 2,Instance 35,8.15,12.0,475.0000000000001,6.0,275.0,0.0,1.0,0.0
Type 2,Instance 36,8.15,12.0,525.0000000000001,6.0,275.0,0.0,1.0,0.0
Type 2,Instance 36,8.15,12.0,525.0000000000001,6.0,275.0,0.0,1.0,0.0
Type 3,Instance 1,10.0,12.0,10.000000000000004,6.0,10.0,0.0,-1.0,0.0
Type 3,Instance 2,10.0,12.0,640.0,6.0,10.0,0.0,-1.0,0.0
Type 3,Instance 3,10.0,12.0,640.0,6.0,390.0,0.0,-1.0,0.0
