Type,Instance,Radii,Lengths,PosX,PosY,PosZ,DirX,DirY,DirZ
Type 1,Instance 1,[2.97],[12.0],622.9000000000001,12.0,327.1,0.0,-1.0,0.0
Type 1,Instance 2,[2.97],[12.0],22.900000000000087,12.0,327.1,0.0,-1.0,0.0
Type 1,Instance 3,[2.97],[12.0],622.9000000000001,12.0,77.1,0.0,-1.0,0.0
Type 1,Instance 4,[2.97],[12.0],22.90000000000008,12.0,77.1,0.0,-1.0,0.0
Type 1,Instance 5,[2.97],[12.0],27.100000000000076,12.0,72.9,0.0,-1.0,0.0
Type 1,Instance 6,[2.97],[12.0],627.0999999999999,12.0,72.9,0.0,-1.0,0.0
Type 1,Instance 7,[2.97],[12.0],27.10000000000007,12.0,322.9,0.0,-1.0,0.0
Type 1,Instance 8,[2.97],[12.0],627.0999999999999,12.0,322.9,0.0,-1.0,0.0
Type 2,Instance 1,[5.763],[12.0],120.92500000000001,0.0,120.92499999999998,0.0,1.0,0.0
Type 2,Instance 2,[5.763],[12.0],170.92500000000007,0.0,120.92499999999998,0.0,1.0,0.0
Type 2,Instance 3,[5.763],[12.0],220.925,0.0,120.92499999999998,0.0,1.0,0.0
Type 2,Instance 4,[5.763],[12.0],270.92499999999995,0.0,120.92499999999998,0.0,1.0,0.0
Type 2,Instance 5,[5.763],[12.0],320.92500000000007,0.0,120.92499999999998,0.0,1.0,0.0
Type 2,Instance 6,[5.763],[12.0],370.92499999999995,0.0,120.92499999999998,0.0,1.0,0.0
Type 2,Instance 7,[5.763],[12.0],420.92500000000007,0.0,120.92499999999998,0.0,1.0,0.0
Type 2,Instance 8,[5.763],[12.0],470.92500000000007,0.0,120.92499999999998,0.0,1.0,0.0
Type 2,Instance 9,[5.763],[12.0],520.925,0.0,120.92499999999998,0.0,1.0,0.0
Type 2,Instance 10,[5.763],[12.0],120.92500000000001,0.0,170.925,0.0,1.0,0.0
Type 2,Instance 11,[5.763],[12.0],170.92500000000007,0.0,170.925,0.0,1.0,0.0
Type 2,Instance 12,[5.763],[12.0],220.925,0.0,170.925,0.0,1.0,0.0
Type 2,Instance 13,[5.763],[12.0],270.92499999999995,0.0,170.925,0.0,1.0,0.0
Type 2,Instance 14,[5.763],[12.0],320.92500000000007,0.0,170.925,0.0,1.0,0.0
Type 2,Instance 15,[5.763],[12.0],370.92499999999995,0.0,170.925,0.0,1.0,0.0
Type 2,Instance 16,[5.763],[12.0],420.92500000000007,0.0,170.925,0.0,1.0,0.0
